ID_Prod,Ano,Temporada,Parcela,Cultivo,Nom.Cob,Rot,Lab,Ras,Cob,Grid
NI_385,2016,1.Primera,Testigo,Maiz,no,Si,Si,No,No,2225
NI_385,2017,2.Postrera,Testigo,Frijol,no,Si,Si,No,No,2225
NI_385,2017,1.Primera,Testigo,Maiz,no,Si,Si,No,No,2225
NI_385,2018,2.Postrera,Testigo,Frijol,no,Si,Si,No,No,2225
NI_385,2018,1.Primera,Testigo,Maiz,no,Si,Si,No,No,2225
NI_385,2019,2.Postrera,Testigo,Frijol,no,Si,Si,No,No,2225
NI_385,2019,1.Primera,Testigo,Maiz,no,Si,Si,No,No,2225
NI_407,2016,2.Postrera,ASA,Frijol,maíz-frijol-canavalia,Si,Si,Si,Si,2225
NI_407,2016,1.Primera,ASA,Maiz,maíz-frijol-canavalia,Si,Si,Si,Si,2225
NI_407,2017,2.Postrera,ASA,Frijol,maíz-frijol-canavalia,Si,Si,Si,Si,2225
NI_407,2017,1.Primera,ASA,Maiz,maíz-frijol-canavalia,Si,Si,Si,Si,2225
NI_407,2018,1.Primera,ASA,Maiz,maíz-frijol-canavalia,Si,Si,Si,Si,2225
NI_407,2019,2.Postrera,ASA,Tomate,maíz-canavalia,Si,Si,Si,Si,2225
NI_407,2019,1.Primera,ASA,Maiz,maíz-frijol-canavalia,Si,Si,Si,Si,2225
NI_407,2016,2.Postrera,Testigo,Frijol,no,Si,Si,No,No,2225
NI_407,2016,1.Primera,Testigo,Maiz,no,Si,Si,No,No,2225
NI_407,2017,2.Postrera,Testigo,Frijol,no,Si,Si,No,No,2225
NI_407,2017,1.Primera,Testigo,Maiz,no,Si,Si,No,No,2225
NI_407,2018,1.Primera,Testigo,Maiz,no,Si,Si,No,No,2225
NI_407,2019,2.Postrera,Testigo,Tomate,no,No,No,No,No,2225
NI_407,2019,1.Primera,Testigo,Maiz,no,Si,Si,No,No,2225
NI_470,2016,2.Postrera,ASA,Maiz,maíz-frijol-canavalia,Si,Si,Si,Si,2549
NI_470,2016,1.Primera,ASA,Frijol,maíz-frijol-canavalia,Si,Si,Si,Si,2549
NI_470,2017,2.Postrera,ASA,Sorgo,maíz-frijol-canavalia,Si,Si,Si,Si,2549
NI_470,2017,1.Primera,ASA,Frijol,maíz-frijol-canavalia,Si,Si,Si,Si,2549
NI_470,2018,2.Postrera,ASA,Sorgo,maíz-frijol-canavalia,Si,Si,Si,Si,2549
NI_470,2018,1.Primera,ASA,Frijol,maíz-frijol-canavalia,Si,Si,Si,Si,2549
NI_470,2019,2.Postrera,ASA,Frijol,maíz-frijol-canavalia,Si,Si,Si,Si,2549
NI_470,2019,1.Primera,ASA,Maiz,maíz-frijol-canavalia,Si,Si,Si,Si,2549
NI_470,2016,2.Postrera,Testigo,Maiz,no,Si,Si,No,No,2549
NI_470,2016,1.Primera,Testigo,Frijol,no,Si,Si,No,No,2549
NI_470,2017,2.Postrera,Testigo,Sorgo,no,Si,Si,No,No,2549
NI_470,2017,1.Primera,Testigo,Frijol,no,Si,Si,No,No,2549
NI_470,2018,2.Postrera,Testigo,Sorgo,no,Si,Si,No,No,2549
NI_470,2018,1.Primera,Testigo,Frijol,no,Si,Si,No,No,2549
NI_470,2019,2.Postrera,Testigo,Frijol,no,Si,Si,No,No,2549
NI_470,2019,1.Primera,Testigo,Maiz,no,Si,Si,No,No,2549
NI_480,2016,2.Postrera,ASA,Frijol,maíz-frijol-canavalia,Si,Si,Si,Si,2548
NI_480,2016,1.Primera,ASA,Maiz,maíz-frijol-canavalia,Si,Si,Si,Si,2548
NI_480,2017,2.Postrera,ASA,Maiz,maíz-frijol-canavalia,Si,Si,Si,Si,2548
NI_480,2017,1.Primera,ASA,Frijol,maíz-frijol-canavalia,Si,Si,Si,Si,2548
NI_480,2018,2.Postrera,ASA,Sorgo,maíz-frijol-canavalia,Si,Si,Si,Si,2548
NI_480,2018,1.Primera,ASA,Frijol,maíz-frijol-canavalia,Si,Si,Si,Si,2548
NI_480,2019,2.Postrera,ASA,Frijol,maíz-frijol-canavalia,Si,Si,Si,Si,2548
NI_480,2019,1.Primera,ASA,Frijol,maíz-frijol-canavalia,Si,Si,Si,Si,2548
NI_480,2016,2.Postrera,Testigo,Frijol,no,Si,Si,No,No,2548
NI_480,2016,1.Primera,Testigo,Maiz,no,Si,Si,No,No,2548
NI_480,2017,2.Postrera,Testigo,Maiz,no,Si,Si,No,No,2548
NI_480,2017,1.Primera,Testigo,Frijol,no,Si,Si,No,No,2548
NI_480,2018,2.Postrera,Testigo,Sorgo,no,Si,Si,No,No,2548
NI_480,2018,1.Primera,Testigo,Frijol,no,Si,Si,No,No,2548
NI_480,2019,2.Postrera,Testigo,Frijol,no,Si,Si,No,No,2548
NI_480,2019,1.Primera,Testigo,Frijol,no,Si,Si,No,No,2548
NI_482,2016,2.Postrera,ASA,Frijol,maíz-frijol-canavalia,Si,Si,Si,Si,2549
NI_482,2016,1.Primera,ASA,Maiz,maíz-frijol-canavalia,Si,Si,Si,Si,2549
NI_482,2017,2.Postrera,ASA,Maiz,maíz-frijol-canavalia,Si,Si,Si,Si,2549
NI_482,2017,1.Primera,ASA,Frijol,maíz-frijol-canavalia,Si,Si,Si,Si,2549
NI_482,2018,2.Postrera,ASA,Frijol,maíz-frijol-canavalia,Si,Si,Si,Si,2549
NI_482,2018,1.Primera,ASA,Maiz,maíz-frijol-canavalia,Si,Si,Si,Si,2549
NI_482,2019,2.Postrera,ASA,Frijol,maíz-frijol-canavalia,Si,Si,Si,Si,2549
NI_482,2019,1.Primera,ASA,Maiz,maíz-frijol-canavalia,Si,Si,Si,Si,2549
NI_482,2016,2.Postrera,Testigo,Frijol,no,Si,Si,No,No,2549
NI_482,2016,1.Primera,Testigo,Maiz,no,Si,Si,No,No,2549
NI_482,2017,2.Postrera,Testigo,Maiz,no,Si,Si,No,No,2549
NI_482,2017,1.Primera,Testigo,Frijol,no,Si,Si,No,No,2549
NI_482,2018,2.Postrera,Testigo,Frijol,no,Si,Si,No,No,2549
NI_482,2018,1.Primera,Testigo,Maiz,no,Si,Si,No,No,2549
NI_482,2019,2.Postrera,Testigo,Frijol,no,Si,Si,No,No,2549
NI_482,2019,1.Primera,Testigo,Maiz,no,Si,Si,No,No,2549
NI_581,2016,2.Postrera,ASA,Frijol,maíz-frijol-canavalia,Si,Si,Si,Si,2550
NI_581,2016,1.Primera,ASA,Maiz,maíz-frijol-canavalia,Si,Si,Si,Si,2550
NI_581,2017,2.Postrera,ASA,Frijol,maíz-frijol-canavalia,Si,Si,Si,Si,2550
NI_581,2017,1.Primera,ASA,Maiz,maíz-frijol-canavalia,Si,Si,Si,Si,2550
NI_581,2018,1.Primera,ASA,Maiz,maíz-frijol-canavalia,Si,Si,Si,Si,2550
NI_581,2019,2.Postrera,ASA,Frijol,maíz-frijol-canavalia,Si,Si,Si,Si,2550
NI_581,2019,1.Primera,ASA,Maiz,maíz-frijol-canavalia,Si,Si,Si,Si,2550
NI_581,2016,2.Postrera,Testigo,Frijol,no,Si,Si,No,No,2550
NI_581,2016,1.Primera,Testigo,Maiz,no,Si,Si,No,No,2550
NI_581,2017,2.Postrera,Testigo,Frijol,no,Si,Si,No,No,2550
NI_581,2017,1.Primera,Testigo,Maiz,no,Si,Si,No,No,2550
NI_581,2018,1.Primera,Testigo,Maiz,no,Si,Si,No,No,2550
NI_581,2019,2.Postrera,Testigo,Frijol,no,Si,Si,No,No,2550
NI_581,2019,1.Primera,Testigo,Maiz,no,Si,Si,No,No,2550
NI_599,2016,2.Postrera,ASA,Frijol,maíz-frijol-canavalia,Si,Si,Si,Si,2549
NI_599,2016,1.Primera,ASA,Maiz,maíz-frijol-canavalia,Si,Si,Si,Si,2549
NI_599,2017,2.Postrera,ASA,Frijol,maíz-frijol-canavalia,Si,Si,Si,Si,2549
NI_599,2017,1.Primera,ASA,Frijol,maíz-frijol-canavalia,Si,Si,Si,Si,2549
NI_599,2018,2.Postrera,ASA,Sorgo,maíz-frijol-canavalia,Si,Si,Si,Si,2549
NI_599,2018,1.Primera,ASA,Frijol,maíz-frijol-canavalia,Si,Si,Si,Si,2549
NI_599,2019,2.Postrera,ASA,Frijol,maíz-frijol-canavalia,Si,Si,Si,Si,2549
NI_599,2019,1.Primera,ASA,Maiz,maíz-frijol-canavalia,Si,Si,Si,Si,2549
NI_599,2016,2.Postrera,Testigo,Frijol,no,Si,Si,No,No,2549
NI_599,2016,1.Primera,Testigo,Maiz,no,Si,Si,No,No,2549
NI_599,2017,2.Postrera,Testigo,Frijol,no,Si,Si,No,No,2549
NI_599,2017,1.Primera,Testigo,Frijol,no,Si,Si,No,No,2549
NI_599,2018,2.Postrera,Testigo,Sorgo,no,Si,Si,No,No,2549
NI_599,2018,1.Primera,Testigo,Frijol,no,Si,Si,No,No,2549
NI_599,2019,2.Postrera,Testigo,Frijol,no,Si,Si,No,No,2549
NI_599,2019,1.Primera,Testigo,Maiz,no,Si,Si,No,No,2549
NI_634,2016,2.Postrera,ASA,Sorgo,maíz-frijol-canavalia,Si,Si,Si,Si,2549
NI_634,2016,1.Primera,ASA,Maiz,maíz-frijol-canavalia,Si,Si,Si,Si,2549
NI_634,2017,2.Postrera,ASA,Maiz,maíz-frijol-canavalia,Si,Si,Si,Si,2549
NI_634,2017,1.Primera,ASA,Frijol,maíz-frijol-canavalia,Si,Si,Si,Si,2549
NI_634,2018,2.Postrera,ASA,Sorgo,maíz-frijol-canavalia,Si,Si,Si,Si,2549
NI_634,2018,1.Primera,ASA,Frijol,maíz-frijol-canavalia,Si,Si,Si,Si,2549
NI_634,2019,2.Postrera,ASA,Maiz,maíz-frijol-canavalia,Si,Si,Si,Si,2549
NI_634,2019,1.Primera,ASA,Frijol,maíz-frijol-canavalia,Si,Si,Si,Si,2549
NI_634,2016,2.Postrera,Testigo,Sorgo,no,Si,Si,No,No,2549
NI_634,2016,1.Primera,Testigo,Maiz,no,Si,Si,No,No,2549
NI_634,2017,2.Postrera,Testigo,Maiz,no,Si,Si,No,No,2549
NI_634,2017,1.Primera,Testigo,Frijol,no,Si,Si,No,No,2549
NI_634,2018,2.Postrera,Testigo,Sorgo,no,Si,Si,No,No,2549
NI_634,2018,1.Primera,Testigo,Frijol,no,Si,Si,No,No,2549
NI_634,2019,2.Postrera,Testigo,Maiz,no,Si,Si,No,No,2549
NI_634,2019,1.Primera,Testigo,Frijol,no,Si,Si,No,No,2549
NI_660,2016,2.Postrera,ASA,Frijol,maíz-frijol-canavalia,Si,Si,Si,Si,2548
NI_660,2016,1.Primera,ASA,Maiz,maíz-frijol-canavalia,Si,Si,Si,Si,2548
NI_660,2017,2.Postrera,ASA,Frijol,maíz-frijol-canavalia,Si,Si,Si,Si,2548
NI_660,2017,1.Primera,ASA,Maiz,maíz-frijol-canavalia,Si,Si,Si,Si,2548
NI_660,2018,2.Postrera,ASA,Frijol,maíz-frijol-canavalia,Si,Si,Si,Si,2548
NI_660,2018,1.Primera,ASA,Frijol,maíz-frijol-canavalia,Si,Si,Si,Si,2548
NI_660,2019,2.Postrera,ASA,Frijol,maíz-frijol-canavalia,Si,Si,Si,Si,2548
NI_660,2019,1.Primera,ASA,Maiz,maíz-frijol-canavalia,Si,Si,Si,Si,2548
NI_660,2016,2.Postrera,Testigo,Frijol,no,Si,Si,No,No,2548
NI_660,2016,1.Primera,Testigo,Maiz,no,Si,Si,No,No,2548
NI_660,2017,2.Postrera,Testigo,Frijol,no,Si,Si,No,No,2548
NI_660,2017,1.Primera,Testigo,Maiz,no,Si,Si,No,No,2548
NI_660,2018,2.Postrera,Testigo,Frijol,no,Si,Si,No,No,2548
NI_660,2018,1.Primera,Testigo,Frijol,no,Si,Si,No,No,2548
NI_660,2019,2.Postrera,Testigo,Frijol,no,Si,Si,No,No,2548
NI_660,2019,1.Primera,Testigo,Maiz,no,Si,Si,No,No,2548
NI_697,2016,2.Postrera,ASA,Frijol,maíz-frijol-canavalia,Si,Si,Si,Si,2548
NI_697,2016,1.Primera,ASA,Maiz,maíz-frijol-canavalia,Si,Si,Si,Si,2548
NI_697,2017,2.Postrera,ASA,Frijol,maíz-frijol-canavalia,Si,Si,Si,Si,2548
NI_697,2017,1.Primera,ASA,Maiz,maíz-frijol-canavalia,Si,Si,Si,Si,2548
NI_697,2018,2.Postrera,ASA,Frijol,maíz-frijol-canavalia,Si,Si,Si,Si,2548
NI_697,2018,1.Primera,ASA,Frijol,maíz-frijol-canavalia,Si,Si,Si,Si,2548
NI_697,2019,2.Postrera,ASA,Frijol,maíz-frijol-canavalia,Si,Si,Si,Si,2548
NI_697,2019,1.Primera,ASA,Frijol,maíz-frijol-canavalia,Si,Si,Si,Si,2548
NI_697,2016,2.Postrera,Testigo,Frijol,no,Si,Si,No,No,2548
NI_697,2016,1.Primera,Testigo,Maiz,no,Si,Si,No,No,2548
NI_697,2017,2.Postrera,Testigo,Frijol,no,Si,Si,No,No,2548
NI_697,2017,1.Primera,Testigo,Maiz,no,Si,Si,No,No,2548
NI_697,2018,2.Postrera,Testigo,Frijol,no,Si,Si,No,No,2548
NI_697,2018,1.Primera,Testigo,Frijol,no,Si,Si,No,No,2548
NI_697,2019,2.Postrera,Testigo,Frijol,no,Si,Si,No,No,2548
NI_697,2019,1.Primera,Testigo,Frijol,no,Si,Si,No,No,2548
NI_698,2016,2.Postrera,ASA,Frijol,maíz-frijol-canavalia,Si,Si,Si,Si,2549
NI_698,2016,1.Primera,ASA,Maiz,maíz-frijol-canavalia,Si,Si,Si,Si,2549
NI_698,2017,2.Postrera,ASA,Sorgo,maíz-frijol-canavalia,Si,Si,Si,Si,2549
NI_698,2017,1.Primera,ASA,Frijol,maíz-frijol-canavalia,Si,Si,Si,Si,2549
NI_698,2018,2.Postrera,ASA,Sorgo,maíz-frijol-canavalia,Si,Si,Si,Si,2549
NI_698,2018,1.Primera,ASA,Maiz,maíz-frijol-canavalia,Si,Si,Si,Si,2549
NI_698,2019,2.Postrera,ASA,Frijol,maíz-frijol-canavalia,Si,Si,Si,Si,2549
NI_698,2019,1.Primera,ASA,Maiz,maíz-frijol-canavalia,Si,Si,Si,Si,2549
NI_698,2016,2.Postrera,Testigo,Frijol,no,Si,Si,No,No,2549
NI_698,2016,1.Primera,Testigo,Maiz,no,Si,Si,No,No,2549
NI_698,2017,2.Postrera,Testigo,Sorgo,no,Si,Si,No,No,2549
NI_698,2017,1.Primera,Testigo,Frijol,no,Si,Si,No,No,2549
NI_698,2018,2.Postrera,Testigo,Sorgo,no,Si,Si,No,No,2549
NI_698,2018,1.Primera,Testigo,Maiz,no,Si,Si,No,No,2549
NI_698,2019,2.Postrera,Testigo,Frijol,no,Si,Si,No,No,2549
NI_698,2019,1.Primera,Testigo,Maiz,no,Si,Si,No,No,2549
Part/SV-0Efp3f,2016,Perenne,ASA,Pasto,,,,No,No,1892
Part/SV-0Efp3f,2017,Perenne,ASA,Pasto,,,,No,No,1892
Part/SV-0Efp3f,2018,Perenne,ASA,Pasto,,,,No,No,1892
Part/SV-0Efp3f,2016,Perenne,Testigo,Pasto,,,,No,No,1892
Part/SV-0Efp3f,2017,Perenne,Testigo,Pasto,,,,No,No,1892
Part/SV-0Efp3f,2018,Perenne,Testigo,Pasto,,,,No,No,1892
Part/SV-7d01PS,2016,Perenne,ASA,Pasto,,,,No,No,1972
Part/SV-7d01PS,2017,Perenne,ASA,Pasto,,,,No,No,1972
Part/SV-7d01PS,2018,Perenne,ASA,Pasto,,,,No,No,1972
Part/SV-7d01PS,2016,Perenne,Testigo,Pasto,,,,No,No,1972
Part/SV-7d01PS,2017,Perenne,Testigo,Pasto,,,,Si,No,1972
